datetime,count
2011-01-20 00:00:00,15.292
2011-01-20 01:00:00,5.37
2011-01-20 02:00:00,3.778
2011-01-20 03:00:00,6.65
2011-01-20 04:00:00,38.08
2011-01-20 05:00:00,89.288
2011-01-20 06:00:00,213.524
2011-01-20 07:00:00,119.498
2011-01-20 08:00:00,68.524
2011-01-20 09:00:00,72.14
2011-01-20 10:00:00,83.856
2011-01-20 11:00:00,79.264
2011-01-20 12:00:00,76.73
2011-01-20 13:00:00,79.586
2011-01-20 14:00:00,233.854
2011-01-20 15:00:00,168.324
2011-01-20 16:00:00,131.692
2011-01-20 17:00:00,74.302
2011-01-20 18:00:00,56.978
2011-01-20 19:00:00,48.492
2011-01-20 20:00:00,27.76
2011-01-20 21:00:00,14.034
2011-01-20 22:00:00,6.99
2011-01-20 23:00:00,3.376
2011-01-21 00:00:00,2.736
2011-01-21 01:00:00,2.304
2011-01-21 02:00:00,4.342
2011-01-21 03:00:00,35.87
2011-01-21 04:00:00,88.5
2011-01-21 05:00:00,198.028
2011-01-21 06:00:00,117.07
2011-01-21 07:00:00,47.208
2011-01-21 08:00:00,58.888
2011-01-21 09:00:00,61.164
2011-01-21 10:00:00,63.022
2011-01-21 11:00:00,62.486
2011-01-21 12:00:00,57.9
2011-01-21 13:00:00,76.316
2011-01-21 14:00:00,162.618
2011-01-21 15:00:00,121.966
2011-01-21 16:00:00,66.324
2011-01-21 17:00:00,35.088
2011-01-21 18:00:00,31.268
2011-01-21 19:00:00,30.634
2011-01-21 20:00:00,20.544
2011-01-21 21:00:00,27.456
2011-01-21 22:00:00,22.626
2011-01-21 23:00:00,18.316
2011-01-22 00:00:00,27.056
2011-01-22 01:00:00,6.296
2011-01-22 02:00:00,17.304
2011-01-22 03:00:00,23.046
2011-01-22 04:00:00,30.69
2011-01-22 06:00:00,39.632
2011-01-22 07:00:00,36.794
2011-01-22 08:00:00,37.716
2011-01-22 09:00:00,44.518
2011-01-22 10:00:00,61.824
2011-01-22 11:00:00,62.358
2011-01-22 12:00:00,67.654
2011-01-22 13:00:00,51.52
2011-01-22 14:00:00,50.878
2011-01-22 15:00:00,43.61
2011-01-22 16:00:00,25.976
2011-01-22 17:00:00,28.536
2011-01-22 18:00:00,24.112
2011-01-22 19:00:00,17.286
2011-01-22 20:00:00,9.872
2011-01-22 21:00:00,3.198
2011-01-22 22:00:00,8.888
2011-01-22 23:00:00,8.774
2011-01-23 00:00:00,18.934
2011-01-23 01:00:00,33.698
2011-01-23 02:00:00,46.656
2011-01-23 03:00:00,57.366
2011-01-23 05:00:00,62.66
2011-01-23 06:00:00,53.376
2011-01-23 07:00:00,75.336
2011-01-23 08:00:00,73.806
2011-01-23 09:00:00,76.99
2011-01-23 10:00:00,95.01
2011-01-23 11:00:00,66.008
2011-01-23 12:00:00,57.838
2011-01-23 13:00:00,40.436
2011-01-23 14:00:00,42.168
2011-01-23 15:00:00,37.972
2011-01-23 16:00:00,24.246
2011-01-23 17:00:00,25.916
2011-01-23 18:00:00,6.524
2011-01-23 19:00:00,6.806
2011-01-23 20:00:00,5.794
2011-01-23 21:00:00,8.824
2011-01-23 22:00:00,32.024
2011-01-23 23:00:00,40.852
2011-01-24 00:00:00,49.364
2011-01-24 01:00:00,60.892
2011-01-24 03:00:00,40.3
2011-01-24 04:00:00,53.42
2011-01-24 05:00:00,53.12
